concept:name,time:timestamp,case:concept:name
A,2023-03-12T23:47:54.934+01:00,1
C,2023-03-12T23:47:55.948+01:00,1
B,2023-03-12T23:47:55.955+01:00,1
X,2023-03-12T23:48:00.962+01:00,1
Y,2023-03-12T23:48:05.967+01:00,1
A,2023-03-12T23:48:13.341+01:00,2
B,2023-03-12T23:48:14.361+01:00,2
C,2023-03-12T23:48:14.353+01:00,2
X,2023-03-12T23:48:19.367+01:00,2
Y,2023-03-12T23:48:24.377+01:00,2
A,2023-03-12T23:48:27.605+01:00,3
D,2023-03-12T23:48:28.615+01:00,3
E,2023-03-12T23:48:31.621+01:00,3
A,2023-03-12T23:50:09.740+01:00,4
D,2023-03-12T23:50:13.768+01:00,4
E,2023-03-12T23:50:16.792+01:00,4
A,2023-03-12T23:50:09.962+01:00,5
D,2023-03-12T23:50:11.977+01:00,5
E,2023-03-12T23:50:12.984+01:00,5
A,2023-03-12T23:50:10.665+01:00,6
D,2023-03-12T23:50:12.696+01:00,6
E,2023-03-12T23:50:16.720+01:00,6
A,2023-03-12T23:50:11.199+01:00,7
C,2023-03-12T23:50:12.226+01:00,7
B,2023-03-12T23:50:12.290+01:00,7
X,2023-03-12T23:50:17.300+01:00,7
Y,2023-03-12T23:50:20.345+01:00,7
A,2023-03-12T23:50:11.432+01:00,8
B,2023-03-12T23:50:12.469+01:00,8
C,2023-03-12T23:50:12.517+01:00,8
X,2023-03-12T23:50:17.523+01:00,8
Y,2023-03-12T23:50:20.540+01:00,8
A,2023-03-12T23:50:12.327+01:00,9
D,2023-03-12T23:50:13.338+01:00,9
E,2023-03-12T23:50:18.343+01:00,9
A,2023-03-12T23:50:12.729+01:00,10
D,2023-03-12T23:50:17.748+01:00,10
E,2023-03-12T23:50:22.768+01:00,10
A,2023-03-12T23:50:13.247+01:00,11
C,2023-03-12T23:50:14.306+01:00,11
B,2023-03-12T23:50:14.342+01:00,11
X,2023-03-12T23:50:19.362+01:00,11
Y,2023-03-12T23:50:20.373+01:00,11
A,2023-03-12T23:50:13.865+01:00,12
B,2023-03-12T23:50:14.898+01:00,12
C,2023-03-12T23:50:14.980+01:00,12
X,2023-03-12T23:50:19.992+01:00,12
Y,2023-03-12T23:50:21.998+01:00,12
A,2023-03-12T23:50:14.262+01:00,13
C,2023-03-12T23:50:15.299+01:00,13
B,2023-03-12T23:50:15.316+01:00,13
X,2023-03-12T23:50:20.328+01:00,13
Y,2023-03-12T23:50:21.344+01:00,13
A,2023-03-12T23:50:14.940+01:00,14
B,2023-03-12T23:50:15.977+01:00,14
C,2023-03-12T23:50:16.002+01:00,14
X,2023-03-12T23:50:21.011+01:00,14
Y,2023-03-12T23:50:22.039+01:00,14
A,2023-03-12T23:50:15.423+01:00,15
D,2023-03-12T23:50:16.463+01:00,15
E,2023-03-12T23:50:20.502+01:00,15
A,2023-03-12T23:50:16.192+01:00,16
D,2023-03-12T23:50:19.234+01:00,16
E,2023-03-12T23:50:24.255+01:00,16
A,2023-03-12T23:50:16.488+01:00,17
D,2023-03-12T23:50:20.501+01:00,17
E,2023-03-12T23:50:24.514+01:00,17
A,2023-03-12T23:50:16.745+01:00,18
C,2023-03-12T23:50:17.784+01:00,18
B,2023-03-12T23:50:17.806+01:00,18
X,2023-03-12T23:50:22.820+01:00,18
Y,2023-03-12T23:50:23.833+01:00,18
A,2023-03-12T23:50:17.494+01:00,19
D,2023-03-12T23:50:18.507+01:00,19
E,2023-03-12T23:50:21.514+01:00,19
A,2023-03-12T23:50:18.278+01:00,20
B,2023-03-12T23:50:19.319+01:00,20
C,2023-03-12T23:50:19.369+01:00,20
X,2023-03-12T23:50:24.386+01:00,20
Y,2023-03-12T23:50:26.410+01:00,20
A,2023-03-12T23:50:18.779+01:00,21
D,2023-03-12T23:50:23.787+01:00,21
E,2023-03-12T23:50:24.796+01:00,21
A,2023-03-12T23:50:18.921+01:00,22
C,2023-03-12T23:50:19.993+01:00,22
B,2023-03-12T23:50:20.016+01:00,22
X,2023-03-12T23:50:25.020+01:00,22
Y,2023-03-12T23:50:28.030+01:00,22
A,2023-03-12T23:50:19.784+01:00,23
D,2023-03-12T23:50:22.801+01:00,23
E,2023-03-12T23:50:25.814+01:00,23
A,2023-03-12T23:50:20.383+01:00,24
B,2023-03-12T23:50:21.431+01:00,24
C,2023-03-12T23:50:21.518+01:00,24
X,2023-03-12T23:50:26.539+01:00,24
Y,2023-03-12T23:50:28.544+01:00,24
A,2023-03-12T23:50:20.680+01:00,25
D,2023-03-12T23:50:25.699+01:00,25
E,2023-03-12T23:50:30.718+01:00,25
A,2023-03-12T23:50:21.345+01:00,26
C,2023-03-12T23:50:22.398+01:00,26
B,2023-03-12T23:50:22.438+01:00,26
X,2023-03-12T23:50:27.470+01:00,26
Y,2023-03-12T23:50:31.487+01:00,26
A,2023-03-12T23:50:22.056+01:00,27
D,2023-03-12T23:50:23.081+01:00,27
E,2023-03-12T23:50:27.091+01:00,27
A,2023-03-12T23:50:22.211+01:00,28
B,2023-03-12T23:50:23.245+01:00,28
C,2023-03-12T23:50:23.278+01:00,28
X,2023-03-12T23:50:28.287+01:00,28
Y,2023-03-12T23:50:29.309+01:00,28
A,2023-03-12T23:50:23.231+01:00,29
D,2023-03-12T23:50:27.238+01:00,29
E,2023-03-12T23:50:32.258+01:00,29
A,2023-03-12T23:50:24.252+01:00,30
C,2023-03-12T23:50:25.283+01:00,30
B,2023-03-12T23:50:25.328+01:00,30
X,2023-03-12T23:50:30.344+01:00,30
Y,2023-03-12T23:50:34.361+01:00,30
